MUI_ADJ;Muiscan;Muiscan;Muiscan;;;;;;;;;;;x;
MUI;Muisca;Muisca;Muisca;;;;;;;;;;;x;
MUI_proletarian_dictatorship;Peoples Republic of Muisca;Peoples Republic of Muisca;Peoples Republic of Muisca;;;;;;;;;;;x;
MUI_presidential_dictatorship;Muisca;Muisca;Muisca;;;;;;;;;;;x;
MUI_bourgeois_dictatorship;Muisca;Muisca;Muisca;;;;;;;;;;;x;
MUI_fascist_dictatorship;State of Muisca;State of Muisca;State of Muisca;;;;;;;;;;;x;
MUI_absolute_monarchy;Empire of Muisca;Empire of Muisca;Empire of Muisca;;;;;;;;;;;x;
MUI_prussian_constitutionalism;Kingdom of Muisca;Kingdom of Muisca;Kingdom of Muisca;;;;;;;;;;;x;
MUI_hms_government;Kingdom of Muisca;Kingdom of Muisca;Kingdom of Muisca;;;;;;;;;;;x;
MUI_democracy;Muisca;Muisca;Muisca;;;;;;;;;;;x;
MUI_conservative_97;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;x;
MUI_liberal_84;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;x;
MUI_liberal_92;National Liberal Party;National Liberal Party;National Liberal Party;;;;;;;;;;;x;
MUI_socialist_90;Socialist Party;Socialist Party;Socialist Party;;;;;;;;;;;x;
MUI_socialist_103;Peoples Socialist Party;Peoples Socialist Party;Peoples Socialist Party;;;;;;;;;;;x;
MUI_reactionary_87;National Defense Party;National Defense Party;National Defense Party;;;;;;;;;;;x;
MUI_anarcho_liberal_98;Radical Liberal Party;Radical Liberal Party;Radical Liberal Party;;;;;;;;;;;x;
MUI_communist_99;Peoples Communist Party;Peoples Communist Party;Peoples Communist Party;;;;;;;;;;;x;
MUI_fascist_88;National Socialist Party;National Socialist Party;National Socialist Party;;;;;;;;;;;x;
